Wm82.a4.v1 Gene,Corresponding Gene,Assembly
Glyma.12g059500,Glyma.12g059500,Glyma2.0
Glyma.12g059600,Glyma12g06350,Glyma 1.1
Glyma.12g059600,Glyma.12g059600,Glyma2.0
Glyma.12g059700,Glyma12g06360,Glyma 1.1
Glyma.12g059700,Glyma.12g059700,Glyma2.0
Glyma.12g059800,Glyma12g06370,Glyma 1.1
Glyma.12g059800,Glyma.12g059800,Glyma2.0
Glyma.12g059900,Glyma12g06380,Glyma 1.1
Glyma.12g059900,Glyma.12g059900,Glyma2.0
Glyma.12g060000,Glyma12g06393,Glyma 1.1
Glyma.12g060000,Glyma.12g060000,Glyma2.0
Glyma.12g060200,Glyma12g06406,Glyma 1.1
Glyma.12g060200,Glyma.12g060200,Glyma2.0
Glyma.12g060300,Glyma12g06425,Glyma 1.1
Glyma.12g060300,Glyma.12g060300,Glyma2.0
Glyma.12g060400,Glyma12g06430,Glyma 1.1
Glyma.12g060400,Glyma.12g060400,Glyma2.0
Glyma.12g060500,Glyma12g06440,Glyma 1.1
Glyma.12g060500,Glyma.12g060500,Glyma2.0
Glyma.12g060600,Glyma12g06450,Glyma 1.1
Glyma.12g060600,Glyma.12g060600,Glyma2.0
Glyma.12g060700,Glyma12g06460,Glyma 1.1
Glyma.12g060700,Glyma.12g060700,Glyma2.0
Glyma.12g060800,Glyma12g06471,Glyma 1.1
Glyma.12g060800,Glyma.12g060800,Glyma2.0
Glyma.12g060900,Glyma12g06480,Glyma 1.1
Glyma.12g060900,Glyma.12g060900,Glyma2.0
Glyma.12g061000,Glyma12g06490,Glyma 1.1
Glyma.12g061000,Glyma.12g061000,Glyma2.0
Glyma.12g061200,Glyma12g06530,Glyma 1.1
Glyma.12g061200,Glyma.12g061200,Glyma2.0
Glyma.12g061300,Glyma12g06540,Glyma 1.1
Glyma.12g061300,Glyma.12g061300,Glyma2.0
Glyma.12g061400,Glyma12g06580,Glyma 1.1
Glyma.12g061400,Glyma.12g061400,Glyma2.0
Glyma.12g061500,Glyma12g06593,Glyma 1.1
Glyma.12g061500,Glyma.12g061500,Glyma2.0
Glyma.12g061900,Glyma12g06630,Glyma 1.1
Glyma.12g061900,Glyma.12g061900,Glyma2.0
Glyma.12g062000,Glyma12g06640,Glyma 1.1
Glyma.12g062000,Glyma.12g062000,Glyma2.0
Glyma.12g062100,Glyma12g06655,Glyma 1.1
Glyma.12g062100,Glyma.12g062100,Glyma2.0
Glyma.12g062200,Glyma12g06670,Glyma 1.1
Glyma.12g062200,Glyma.12g062200,Glyma2.0
Glyma.12g062300,Glyma12g06680,Glyma 1.1
Glyma.12g062300,Glyma.12g062300,Glyma2.0
Glyma.12g062400,Glyma12g06690,Glyma 1.1
Glyma.12g062400,Glyma.12g062400,Glyma2.0
Glyma.12g062500,Glyma12g06700,Glyma 1.1
Glyma.12g062500,Glyma.12g062500,Glyma2.0
Glyma.12g062600,Glyma12g06710,Glyma 1.1
Glyma.12g062600,Glyma.12g062600,Glyma2.0
Glyma.12g062700,Glyma12g06730,Glyma 1.1
Glyma.12g062700,Glyma.12g062700,Glyma2.0
Glyma.12g062800,Glyma12g06750,Glyma 1.1
Glyma.12g062800,Glyma.12g062800,Glyma2.0
Glyma.12g062900,Glyma12g06760,Glyma 1.1
Glyma.12g062900,Glyma.12g062900,Glyma2.0
Glyma.12g063000,Glyma12g06770,Glyma 1.1
Glyma.12g063000,Glyma.12g063000,Glyma2.0
Glyma.12g063100,Glyma12g06790,Glyma 1.1
Glyma.12g063100,Glyma.12g063100,Glyma2.0
Glyma.12g063200,Glyma12g06800,Glyma 1.1
Glyma.12g063200,Glyma.12g063200,Glyma2.0
Glyma.12g063400,Glyma12g06820,Glyma 1.1
Glyma.12g063400,Glyma.12g063400,Glyma2.0
Glyma.12g063500,Glyma12g06830,Glyma 1.1
Glyma.12g063500,Glyma.12g063500,Glyma2.0
Glyma.12g063600,Glyma12g06850,Glyma 1.1
Glyma.12g063600,Glyma.12g063600,Glyma2.0
Glyma.12g063700,Glyma12g06860,Glyma 1.1
Glyma.12g063700,Glyma.12g063700,Glyma2.0
Glyma.12g063800,Glyma12g06880,Glyma 1.1
Glyma.12g063800,Glyma.12g063800,Glyma2.0
Glyma.12g063900,Glyma12g06895,Glyma 1.1
Glyma.12g063900,Glyma.12g063900,Glyma2.0
Glyma.12g064000,Glyma12g06910,Glyma 1.1
Glyma.12g064000,Glyma.12g064000,Glyma2.0
Glyma.12g064100,Glyma12g06920,Glyma 1.1
Glyma.12g064100,Glyma.12g064100,Glyma2.0
Glyma.12g064200,Glyma12g06930,Glyma 1.1
Glyma.12g064200,Glyma.12g064200,Glyma2.0
Glyma.12g064300,Glyma12g06950,Glyma 1.1
Glyma.12g064300,Glyma.12g064300,Glyma2.0
Glyma.12g064400,Glyma12g06960,Glyma 1.1
Glyma.12g064400,Glyma.12g064400,Glyma2.0
Glyma.12g064500,Glyma12g06970,Glyma 1.1
Glyma.12g064500,Glyma.12g064500,Glyma2.0
Glyma.12g064600,Glyma12g06980,Glyma 1.1
Glyma.12g064600,Glyma.12g064600,Glyma2.0
Glyma.12g064700,Glyma12g06990,Glyma 1.1
Glyma.12g064700,Glyma.12g064700,Glyma2.0
Glyma.12g064800,Glyma12g07000,Glyma 1.1
Glyma.12g064800,Glyma.12g064800,Glyma2.0
Glyma.12g065000,Glyma12g07020,Glyma 1.1
Glyma.12g065000,Glyma.12g065000,Glyma2.0
Glyma.12g065100,Glyma12g07030,Glyma 1.1
Glyma.12g065100,Glyma.12g065100,Glyma2.0
Glyma.12g065200,Glyma12g07040,Glyma 1.1
Glyma.12g065200,Glyma.12g065200,Glyma2.0
Glyma.12g065400,Glyma12g07050,Glyma 1.1
Glyma.12g065400,Glyma.12g065400,Glyma2.0
Glyma.12g065500,Glyma12g07061,Glyma 1.1
Glyma.12g065500,Glyma.12g065500,Glyma2.0
Glyma.12g065600,Glyma12g07070,Glyma 1.1
Glyma.12g065600,Glyma.12g065600,Glyma2.0
Glyma.12g065700,Glyma12g07080,Glyma 1.1
Glyma.12g065700,Glyma.12g065700,Glyma2.0
Glyma.12g065900,Glyma12g07100,Glyma 1.1
Glyma.12g065900,Glyma.12g065900,Glyma2.0
Glyma.12g066000,Glyma12g07110,Glyma 1.1
Glyma.12g066000,Glyma.12g066000,Glyma2.0
Glyma.12g066300,Glyma12g07130,Glyma 1.1
Glyma.12g066300,Glyma.12g066300,Glyma2.0
Glyma.12g066500,Glyma12g07150,Glyma 1.1
Glyma.12g066500,Glyma.12g066500,Glyma2.0
Glyma.12g066700,Glyma12g07160,Glyma 1.1
Glyma.12g066700,Glyma.12g066700,Glyma2.0
Glyma.12g066800,Glyma12g07170,Glyma 1.1
Glyma.12g066800,Glyma.12g066800,Glyma2.0
Glyma.12g066900,Glyma12g07180,Glyma 1.1
Glyma.12g066900,Glyma.12g066900,Glyma2.0
Glyma.12g067000,Glyma12g07190,Glyma 1.1
Glyma.12g067000,Glyma.12g067000,Glyma2.0
Glyma.12g067100,Glyma12g07200,Glyma 1.1
Glyma.12g067100,Glyma.12g067100,Glyma2.0
Glyma.12g067300,Glyma12g07220,Glyma 1.1
Glyma.12g067300,Glyma.12g067300,Glyma2.0
Glyma.12g067400,Glyma12g07230,Glyma 1.1
Glyma.12g067400,Glyma.12g067400,Glyma2.0
Glyma.12g067500,Glyma12g07240,Glyma 1.1
Glyma.12g067500,Glyma.12g067500,Glyma2.0
Glyma.12g067600,Glyma12g07250,Glyma 1.1
Glyma.12g067600,Glyma.12g067600,Glyma2.0
Glyma.12g067700,Glyma12g07260,Glyma 1.1
Glyma.12g067700,Glyma.12g067700,Glyma2.0
Glyma.12g067800,Glyma12g07270,Glyma 1.1
Glyma.12g067800,Glyma.12g067800,Glyma2.0
Glyma.12g068000,Glyma12g07290,Glyma 1.1
Glyma.12g068000,Glyma.12g068000,Glyma2.0
Glyma.12g068100,Glyma12g07300,Glyma 1.1
Glyma.12g068100,Glyma.12g068100,Glyma2.0
Glyma.12g068200,Glyma12g07315,Glyma 1.1
Glyma.12g068200,Glyma.12g068200,Glyma2.0
Glyma.12g068300,Glyma12g07330,Glyma 1.1
Glyma.12g068300,Glyma.12g068300,Glyma2.0
Glyma.12g068500,Glyma12g07340,Glyma 1.1
Glyma.12g068500,Glyma.12g068500,Glyma2.0
Glyma.12g068700,Glyma12g07350,Glyma 1.1
Glyma.12g068700,Glyma.12g068700,Glyma2.0
Glyma.12g068800,Glyma12g07361,Glyma 1.1
Glyma.12g068800,Glyma.12g068800,Glyma2.0
Glyma.12g068900,Glyma12g07370,Glyma 1.1
Glyma.12g068900,Glyma.12g068900,Glyma2.0
Glyma.12g069000,Glyma12g07381,Glyma 1.1
Glyma.12g069000,Glyma.12g069000,Glyma2.0
Glyma.12g069100,Glyma12g07390,Glyma 1.1
Glyma.12g069100,Glyma.12g069100,Glyma2.0
Glyma.12g069400,Glyma12g07411,Glyma 1.1
Glyma.12g069400,Glyma.12g069400,Glyma2.0
Glyma.12g069700,Glyma12g07430,Glyma 1.1
Glyma.12g069700,Glyma.12g069700,Glyma2.0
Glyma.12g069800,Glyma12g07440,Glyma 1.1
Glyma.12g069800,Glyma.12g069800,Glyma2.0
Glyma.12g069900,Glyma12g07450,Glyma 1.1
Glyma.12g069900,Glyma.12g069900,Glyma2.0
Glyma.12g070000,Glyma12g07460,Glyma 1.1
Glyma.12g070000,Glyma.12g070000,Glyma2.0
Glyma.12g070100,Glyma12g07470,Glyma 1.1
Glyma.12g070100,Glyma.12g070100,Glyma2.0
Glyma.12g070200,Glyma12g07490,Glyma 1.1
Glyma.12g070200,Glyma.12g070200,Glyma2.0
Glyma.12g070300,Glyma12g07510,Glyma 1.1
Glyma.12g070300,Glyma.12g070300,Glyma2.0
Glyma.12g070400,Glyma12g07520,Glyma 1.1
Glyma.12g070400,Glyma.12g070400,Glyma2.0
Glyma.12g070600,Glyma12g07530,Glyma 1.1
Glyma.12g070600,Glyma.12g070600,Glyma2.0
Glyma.12g070700,Glyma12g07536,Glyma 1.1
Glyma.12g070700,Glyma.12g070700,Glyma2.0
Glyma.12g070800,Glyma12g07543,Glyma 1.1
Glyma.12g070800,Glyma.12g070800,Glyma2.0
Glyma.12g070900,Glyma12g07550,Glyma 1.1
Glyma.12g070900,Glyma.12g070900,Glyma2.0
Glyma.12g071000,Glyma12g07560,Glyma 1.1
Glyma.12g071000,Glyma.12g071000,Glyma2.0
Glyma.12g071100,Glyma12g07570,Glyma 1.1
Glyma.12g071100,Glyma.12g071100,Glyma2.0
Glyma.12g071300,Glyma12g07590,Glyma 1.1
Glyma.12g071300,Glyma.12g071300,Glyma2.0
Glyma.12g071400,Glyma12g07601,Glyma 1.1
Glyma.12g071400,Glyma.12g071400,Glyma2.0
Glyma.12g071500,Glyma12g07610,Glyma 1.1
Glyma.12g071500,Glyma.12g071500,Glyma2.0
Glyma.12g071700,Glyma12g07620,Glyma 1.1
Glyma.12g071700,Glyma.12g071700,Glyma2.0
Glyma.12g071800,Glyma12g07630,Glyma 1.1
Glyma.12g071800,Glyma.12g071800,Glyma2.0
Glyma.12g071900,Glyma12g07640,Glyma 1.1
Glyma.12g071900,Glyma.12g071900,Glyma2.0
Glyma.12g072000,Glyma12g07650,Glyma 1.1
Glyma.12g072000,Glyma.12g072000,Glyma2.0
Glyma.12g072100,Glyma12g07660,Glyma 1.1
Glyma.12g072100,Glyma.12g072100,Glyma2.0
Glyma.12g072200,Glyma12g07690,Glyma 1.1
Glyma.12g072200,Glyma.12g072200,Glyma2.0
Glyma.12g072300,Glyma12g07700,Glyma 1.1
Glyma.12g072300,Glyma.12g072300,Glyma2.0
Glyma.12g072400,Glyma12g07710,Glyma 1.1
Glyma.12g072400,Glyma.12g072400,Glyma2.0
Glyma.12g072500,Glyma12g07720,Glyma 1.1
Glyma.12g072500,Glyma.12g072500,Glyma2.0
Glyma.12g072600,Glyma12g07730,Glyma 1.1
Glyma.12g072600,Glyma.12g072600,Glyma2.0
Glyma.12g072700,Glyma12g07740,Glyma 1.1
Glyma.12g072700,Glyma.12g072700,Glyma2.0
Glyma.12g073000,Glyma12g07770,Glyma 1.1
Glyma.12g073000,Glyma.12g073000,Glyma2.0
Glyma.12g073100,Glyma12g07780,Glyma 1.1
Glyma.12g073100,Glyma.12g073100,Glyma2.0
Glyma.12g073200,Glyma12g07791,Glyma 1.1
Glyma.12g073200,Glyma.12g073200,Glyma2.0
Glyma.12g073300,Glyma12g07800,Glyma 1.1
Glyma.12g073300,Glyma.12g073300,Glyma2.0
Glyma.12g073400,Glyma12g07815,Glyma 1.1
Glyma.12g073400,Glyma.12g073400,Glyma2.0
Glyma.12g073500,Glyma12g07830,Glyma 1.1
Glyma.12g073500,Glyma.12g073500,Glyma2.0
Glyma.12g073700,Glyma12g07850,Glyma 1.1
Glyma.12g073700,Glyma.12g073700,Glyma2.0
Glyma.12g073900,Glyma12g07861,Glyma 1.1
Glyma.12g073900,Glyma.12g073900,Glyma2.0
Glyma.12g074000,Glyma12g07870,Glyma 1.1
Glyma.12g074000,Glyma.12g074000,Glyma2.0
Glyma.12g074100,Glyma12g07890,Glyma 1.1
Glyma.12g074100,Glyma.12g074100,Glyma2.0
Glyma.12g074200,Glyma12g07900,Glyma 1.1
Glyma.12g074200,Glyma.12g074200,Glyma2.0
Glyma.12g074300,Glyma12g07910,Glyma 1.1
Glyma.12g074300,Glyma.12g074300,Glyma2.0
Glyma.12g074400,Glyma12g07926,Glyma 1.1
Glyma.12g074400,Glyma.12g074400,Glyma2.0
Glyma.12g074500,Glyma12g07943,Glyma 1.1
Glyma.12g074500,Glyma.12g074500,Glyma2.0
Glyma.12g074600,Glyma12g07960,Glyma 1.1
Glyma.12g074600,Glyma.12g074600,Glyma2.0
Glyma.12g074700,Glyma12g07970,Glyma 1.1
Glyma.12g074700,Glyma.12g074700,Glyma2.0
Glyma.12g074800,Glyma12g07980,Glyma 1.1
Glyma.12g074800,Glyma.12g074800,Glyma2.0
Glyma.12g074900,Glyma12g07990,Glyma 1.1
Glyma.12g074900,Glyma.12g074900,Glyma2.0
Glyma.12g075000,Glyma12g08000,Glyma 1.1
Glyma.12g075000,Glyma.12g075000,Glyma2.0
Glyma.12g075100,Glyma12g08010,Glyma 1.1
Glyma.12g075100,Glyma.12g075100,Glyma2.0
Glyma.12g075200,Glyma12g08020,Glyma 1.1
Glyma.12g075200,Glyma.12g075200,Glyma2.0
Glyma.12g075300,Glyma12g08030,Glyma 1.1
Glyma.12g075300,Glyma.12g075300,Glyma2.0
Glyma.12g075400,Glyma12g08041,Glyma 1.1
Glyma.12g075400,Glyma.12g075400,Glyma2.0
Glyma.12g075500,Glyma12g08050,Glyma 1.1
Glyma.12g075500,Glyma.12g075500,Glyma2.0
Glyma.12g075600,Glyma12g08060,Glyma 1.1
Glyma.12g075600,Glyma.12g075600,Glyma2.0
Glyma.12g075700,Glyma12g08070,Glyma 1.1
Glyma.12g075700,Glyma.12g075700,Glyma2.0
Glyma.12g075800,Glyma12g08080,Glyma 1.1
Glyma.12g075800,Glyma.12g075800,Glyma2.0
Glyma.12g075900,Glyma12g08090,Glyma 1.1
Glyma.12g075900,Glyma.12g075900,Glyma2.0
Glyma.12g076100,Glyma12g08100,Glyma 1.1
Glyma.12g076100,Glyma.12g076100,Glyma2.0
Glyma.12g076200,Glyma12g08110,Glyma 1.1
Glyma.12g076200,Glyma.12g076200,Glyma2.0
Glyma.12g076400,Glyma12g08121,Glyma 1.1
Glyma.12g076400,Glyma.12g076400,Glyma2.0
Glyma.12g076500,Glyma12g08131,Glyma 1.1
Glyma.12g076500,Glyma.12g076500,Glyma2.0
Glyma.12g076600,Glyma12g08140,Glyma 1.1
Glyma.12g076600,Glyma.12g076600,Glyma2.0
Glyma.12g076700,Glyma12g08150,Glyma 1.1
Glyma.12g076700,Glyma.12g076700,Glyma2.0
Glyma.12g076800,Glyma12g08160,Glyma 1.1
Glyma.12g076800,Glyma.12g076800,Glyma2.0
Glyma.12g076900,Glyma12g08170,Glyma 1.1
Glyma.12g076900,Glyma.12g076900,Glyma2.0
Glyma.12g077100,Glyma12g08180,Glyma 1.1
Glyma.12g077100,Glyma.12g077100,Glyma2.0
Glyma.12g077300,Glyma12g08210,Glyma 1.1
Glyma.12g077300,Glyma.12g077300,Glyma2.0
Glyma.12g077400,Glyma12g08230,Glyma 1.1
Glyma.12g077400,Glyma.12g077400,Glyma2.0
Glyma.12g077500,Glyma12g08240,Glyma 1.1
Glyma.12g077500,Glyma.12g077500,Glyma2.0
Glyma.12g077600,Glyma12g08251,Glyma 1.1
Glyma.12g077600,Glyma.12g077600,Glyma2.0
Glyma.12g077700,Glyma12g08260,Glyma 1.1
Glyma.12g077700,Glyma.12g077700,Glyma2.0
Glyma.12g077800,Glyma12g08270,Glyma 1.1
Glyma.12g077800,Glyma.12g077800,Glyma2.0
Glyma.12g077900,Glyma12g08280,Glyma 1.1
Glyma.12g077900,Glyma.12g077900,Glyma2.0
Glyma.12g078000,Glyma12g08290,Glyma 1.1
Glyma.12g078000,Glyma.12g078000,Glyma2.0
Glyma.12g078100,Glyma12g08310,Glyma 1.1
Glyma.12g078100,Glyma.12g078100,Glyma2.0
Glyma.12g078200,Glyma12g08325,Glyma 1.1
Glyma.12g078200,Glyma.12g078200,Glyma2.0
Glyma.12g078300,Glyma12g08320,Glyma 1.1
Glyma.12g078300,Glyma.12g078300,Glyma2.0
Glyma.12g078500,Glyma12g08340,Glyma 1.1
Glyma.12g078500,Glyma.12g078500,Glyma2.0
Glyma.12g078800,Glyma12g08370,Glyma 1.1
Glyma.12g078800,Glyma.12g078800,Glyma2.0
Glyma.12g079000,Glyma12g08390,Glyma 1.1
Glyma.12g079000,Glyma.12g079000,Glyma2.0
Glyma.12g079100,Glyma12g08400,Glyma 1.1
Glyma.12g079100,Glyma.12g079100,Glyma2.0
Glyma.12g079300,Glyma12g08420,Glyma 1.1
Glyma.12g079300,Glyma.12g079300,Glyma2.0
Glyma.12g079400,Glyma12g08430,Glyma 1.1
Glyma.12g079400,Glyma.12g079400,Glyma2.0
Glyma.12g079500,Glyma12g08440,Glyma 1.1
Glyma.12g079500,Glyma.12g079500,Glyma2.0
Glyma.12g079700,Glyma12g08470,Glyma 1.1
Glyma.12g079700,Glyma.12g079700,Glyma2.0
Glyma.12g079800,Glyma12g08480,Glyma 1.1
Glyma.12g079800,Glyma.12g079800,Glyma2.0
Glyma.12g079900,Glyma12g08490,Glyma 1.1
Glyma.12g079900,Glyma.12g079900,Glyma2.0
Glyma.12g080000,Glyma12g08510,Glyma 1.1
Glyma.12g080000,Glyma.12g080000,Glyma2.0
Glyma.12g080100,Glyma12g08520,Glyma 1.1
Glyma.12g080100,Glyma.12g080100,Glyma2.0
Glyma.12g080300,Glyma12g08530,Glyma 1.1
Glyma.12g080300,Glyma.12g080300,Glyma2.0
Glyma.12g080500,Glyma12g08550,Glyma 1.1
Glyma.12g080500,Glyma.12g080500,Glyma2.0
Glyma.12g080600,Glyma12g08570,Glyma 1.1
Glyma.12g080600,Glyma.12g080600,Glyma2.0
Glyma.12g080700,Glyma12g08580,Glyma 1.1
Glyma.12g080700,Glyma.12g080700,Glyma2.0
Glyma.12g080800,Glyma12g08590,Glyma 1.1
Glyma.12g080800,Glyma.12g080800,Glyma2.0
Glyma.12g080900,Glyma12g08600,Glyma 1.1
Glyma.12g080900,Glyma.12g080900,Glyma2.0
Glyma.12g081000,Glyma12g08610,Glyma 1.1
Glyma.12g081000,Glyma.12g081000,Glyma2.0
Glyma.12g081100,Glyma12g08625,Glyma 1.1
Glyma.12g081100,Glyma.12g081100,Glyma2.0
Glyma.12g081200,Glyma12g08640,Glyma 1.1
Glyma.12g081200,Glyma.12g081200,Glyma2.0
Glyma.12g081300,Glyma12g08650,Glyma 1.1
Glyma.12g081300,Glyma.12g081300,Glyma2.0
Glyma.12g081400,Glyma12g08660,Glyma 1.1
Glyma.12g081400,Glyma.12g081400,Glyma2.0
Glyma.12g081500,Glyma12g08670,Glyma 1.1
Glyma.12g081500,Glyma.12g081500,Glyma2.0
Glyma.12g081700,Glyma12g08680,Glyma 1.1
Glyma.12g081700,Glyma.12g081700,Glyma2.0
Glyma.12g081900,Glyma12g08720,Glyma 1.1
Glyma.12g081900,Glyma.12g081900,Glyma2.0
Glyma.12g082000,Glyma12g08730,Glyma 1.1
Glyma.12g082000,Glyma.12g082000,Glyma2.0
Glyma.12g082100,Glyma12g08740,Glyma 1.1
Glyma.12g082100,Glyma.12g082100,Glyma2.0
Glyma.12g082200,Glyma12g08750,Glyma 1.1
Glyma.12g082200,Glyma.12g082200,Glyma2.0
Glyma.12g082300,Glyma12g08760,Glyma 1.1
Glyma.12g082300,Glyma.12g082300,Glyma2.0
Glyma.12g082400,Glyma12g08770,Glyma 1.1
Glyma.12g082400,Glyma.12g082400,Glyma2.0
Glyma.12g082700,Glyma12g08800,Glyma 1.1
Glyma.12g082700,Glyma.12g082700,Glyma2.0
Glyma.12g082800,Glyma12g08805,Glyma 1.1
Glyma.12g082800,Glyma.12g082800,Glyma2.0
Glyma.12g083000,Glyma12g08810,Glyma 1.1
Glyma.12g083000,Glyma.12g083000,Glyma2.0
Glyma.12g083100,Glyma12g08820,Glyma 1.1
Glyma.12g083100,Glyma.12g083100,Glyma2.0
Glyma.12g083200,Glyma12g08830,Glyma 1.1
Glyma.12g083200,Glyma.12g083200,Glyma2.0
Glyma.12g083300,Glyma12g08840,Glyma 1.1
Glyma.12g083300,Glyma.12g083300,Glyma2.0
Glyma.12g083500,Glyma12g08860,Glyma 1.1
Glyma.12g083500,Glyma.12g083500,Glyma2.0
Glyma.12g083600,Glyma12g08870,Glyma 1.1
Glyma.12g083600,Glyma.12g083600,Glyma2.0
Glyma.12g083700,Glyma12g08890,Glyma 1.1
Glyma.12g083700,Glyma.12g083700,Glyma2.0
Glyma.12g083800,Glyma12g08900,Glyma 1.1
Glyma.12g083800,Glyma.12g083800,Glyma2.0
Glyma.12g084300,Glyma12g08950,Glyma 1.1
Glyma.12g084300,Glyma.12g084300,Glyma2.0
Glyma.12g084400,Glyma12g08965,Glyma 1.1
Glyma.12g084400,Glyma.12g084400,Glyma2.0
Glyma.12g084500,Glyma12g08980,Glyma 1.1
Glyma.12g084500,Glyma.12g084500,Glyma2.0
Glyma.12g084600,Glyma12g08990,Glyma 1.1
Glyma.12g084600,Glyma.12g084600,Glyma2.0
Glyma.12g084700,Glyma12g09000,Glyma 1.1
Glyma.12g084700,Glyma.12g084700,Glyma2.0
Glyma.12g084900,Glyma12g09010,Glyma 1.1
Glyma.12g084900,Glyma.12g084900,Glyma2.0
Glyma.12g085100,Glyma12g09020,Glyma 1.1
Glyma.12g085100,Glyma.12g085100,Glyma2.0
Glyma.12g085300,Glyma12g09030,Glyma 1.1
Glyma.12g085300,Glyma.12g085300,Glyma2.0
Glyma.12g085400,Glyma12g09040,Glyma 1.1
Glyma.12g085400,Glyma.12g085400,Glyma2.0
Glyma.12g085500,Glyma12g09050,Glyma 1.1
Glyma.12g085500,Glyma.12g085500,Glyma2.0
Glyma.12g085600,Glyma12g09060,Glyma 1.1
Glyma.12g085600,Glyma.12g085600,Glyma2.0
Glyma.12g085800,Glyma12g09090,Glyma 1.1
Glyma.12g085800,Glyma.12g085800,Glyma2.0
Glyma.12g085900,Glyma12g09100,Glyma 1.1
Glyma.12g085900,Glyma.12g085900,Glyma2.0
Glyma.12g086000,Glyma12g09110,Glyma 1.1
Glyma.12g086000,Glyma.12g086000,Glyma2.0
Glyma.12g086100,Glyma12g09120,Glyma 1.1
Glyma.12g086100,Glyma.12g086100,Glyma2.0
Glyma.12g086200,Glyma12g09130,Glyma 1.1
Glyma.12g086200,Glyma.12g086200,Glyma2.0
Glyma.12g086500,Glyma12g09160,Glyma 1.1
Glyma.12g086500,Glyma.12g086500,Glyma2.0
Glyma.12g086600,Glyma12g09170,Glyma 1.1
Glyma.12g086600,Glyma.12g086600,Glyma2.0
Glyma.12g086700,Glyma12g09190,Glyma 1.1
Glyma.12g086700,Glyma.12g086700,Glyma2.0
Glyma.12g086900,Glyma12g09210,Glyma 1.1
Glyma.12g086900,Glyma.12g086900,Glyma2.0
Glyma.12g087000,Glyma12g09220,Glyma 1.1
Glyma.12g087000,Glyma.12g087000,Glyma2.0
Glyma.12g087100,Glyma12g09230,Glyma 1.1
Glyma.12g087100,Glyma.12g087100,Glyma2.0
Glyma.12g087200,Glyma12g09240,Glyma 1.1
Glyma.12g087200,Glyma.12g087200,Glyma2.0
Glyma.12g087300,Glyma12g09250,Glyma 1.1
Glyma.12g087300,Glyma.12g087300,Glyma2.0
Glyma.12g087400,Glyma12g09270,Glyma 1.1
Glyma.12g087400,Glyma.12g087400,Glyma2.0
Glyma.12g087700,Glyma12g09300,Glyma 1.1
Glyma.12g087700,Glyma.12g087700,Glyma2.0
Glyma.12g087800,Glyma12g09340,Glyma 1.1
Glyma.12g087800,Glyma.12g087800,Glyma2.0
Glyma.12g087900,Glyma12g09350,Glyma 1.1
Glyma.12g087900,Glyma.12g087900,Glyma2.0
Glyma.12g088000,Glyma12g09360,Glyma 1.1
Glyma.12g088000,Glyma.12g088000,Glyma2.0
Glyma.12g088100,Glyma12g09370,Glyma 1.1
Glyma.12g088100,Glyma.12g088100,Glyma2.0
Glyma.12g088300,Glyma12g09390,Glyma 1.1
Glyma.12g088300,Glyma.12g088300,Glyma2.0
Glyma.12g088400,Glyma12g09400,Glyma 1.1
Glyma.12g088400,Glyma.12g088400,Glyma2.0
Glyma.12g088500,Glyma12g09410,Glyma 1.1
Glyma.12g088500,Glyma.12g088500,Glyma2.0
Glyma.12g088600,Glyma12g09421,Glyma 1.1
Glyma.12g088600,Glyma.12g088600,Glyma2.0
Glyma.12g088700,Glyma12g09430,Glyma 1.1
Glyma.12g088700,Glyma.12g088700,Glyma2.0
Glyma.12g088900,Glyma12g09445,Glyma 1.1
Glyma.12g088900,Glyma.12g088900,Glyma2.0
Glyma.12g089000,Glyma12g09460,Glyma 1.1
Glyma.12g089000,Glyma.12g089000,Glyma2.0
Glyma.12g089100,Glyma12g09490,Glyma 1.1
Glyma.12g089100,Glyma.12g089100,Glyma2.0
Glyma.12g089200,Glyma12g09501,Glyma 1.1
Glyma.12g089200,Glyma.12g089200,Glyma2.0
Glyma.12g089300,Glyma12g09510,Glyma 1.1
Glyma.12g089300,Glyma.12g089300,Glyma2.0
Glyma.12g089400,Glyma12g09520,Glyma 1.1
Glyma.12g089400,Glyma.12g089400,Glyma2.0
Glyma.12g089500,Glyma12g09526,Glyma 1.1
Glyma.12g089500,Glyma.12g089500,Glyma2.0
Glyma.12g089600,Glyma12g09533,Glyma 1.1
Glyma.12g089600,Glyma.12g089600,Glyma2.0
Glyma.12g089700,Glyma12g09540,Glyma 1.1
Glyma.12g089700,Glyma.12g089700,Glyma2.0
Glyma.12g089800,Glyma12g09550,Glyma 1.1
Glyma.12g089800,Glyma.12g089800,Glyma2.0
Glyma.12g089900,Glyma12g09560,Glyma 1.1
Glyma.12g089900,Glyma.12g089900,Glyma2.0
Glyma.12g090100,Glyma12g09570,Glyma 1.1
Glyma.12g090100,Glyma.12g090100,Glyma2.0
Glyma.12g090400,Glyma12g09593,Glyma 1.1
Glyma.12g090400,Glyma.12g090400,Glyma2.0
Glyma.12g090500,Glyma12g09600,Glyma 1.1
Glyma.12g090500,Glyma.12g090500,Glyma2.0
Glyma.12g090700,Glyma12g09615,Glyma 1.1
Glyma.12g090700,Glyma.12g090700,Glyma2.0
Glyma.12g090800,Glyma12g09630,Glyma 1.1
Glyma.12g090800,Glyma.12g090800,Glyma2.0
Glyma.12g090900,Glyma12g09640,Glyma 1.1
